x_m,y_m  # Perfil superior (revolución eje x).
1.992458069914015417e-01,5.537075076630182391e-02
2.011775543415478262e-01,5.557013366078348421e-02
2.030934319101723451e-01,5.576379080417485229e-02
2.049929622204191282e-01,5.595178661392703062e-02
2.068756718695119179e-01,5.613418764742787032e-02
2.087410916467356825e-01,5.631106251478278785e-02
2.105887566503739372e-01,5.648248179092083682e-02
2.124182064035722017e-01,5.664851792714584167e-02
2.142289849690980352e-01,5.680924516225525911e-02
2.160206410629705587e-01,5.696473943335271517e-02
2.177927281669296555e-01,5.711507828648251794e-02
2.195448046397177333e-01,5.726034078721766590e-02
2.212764338271460685e-01,5.740060743133452992e-02
2.229871841709180902e-01,5.753596005571019051e-02
2.246766293161828465e-01,5.766648174957985512e-02
2.263443482177913690e-01,5.779225676629359126e-02
2.279899252452301794e-01,5.791337043571310322e-02
2.296129502862050975e-01,5.802990907738986986e-02
2.312130188488496219e-01,5.814195991466725860e-02
2.327897321625331251e-01,5.824961098984914737e-02
2.343426972772424122e-01,5.835295108057787783e-02
2.358715271615135500e-01,5.845206961756380104e-02
2.373758407988879326e-01,5.854705660380821186e-02
2.388552632828696287e-01,5.863800253546012919e-02
2.403094259103600028e-01,5.872499832444574158e-02
2.417379662735462675e-01,5.880813522300771395e-02
2.431405283502209858e-01,5.888750475028863701e-02
2.445167625925104005e-01,5.896319862109054843e-02
2.458663260139889728e-01,5.903530867693847911e-02
2.471888822751589221e-01,5.910392681957288979e-02
2.484841017672730079e-01,5.916914494699086063e-02
2.497516616944799039e-01,5.923105489215182290e-02
2.509912461542717632e-01,5.928974836445759233e-02
2.522025462162136855e-01,5.934531689411159938e-02
2.533852599989357413e-01,5.939785177945515471e-02
2.545390927453680119e-01,5.944744403737262789e-02
2.556637568962004115e-01,5.949418435684975665e-02
2.567589721615483045e-01,5.953816305576177526e-02
2.578244655908066285e-01,5.957947004096034171e-02
2.588599716406752571e-01,5.961819477171913934e-02
2.598652322413372850e-01,5.965442622658962551e-02
2.608399968607762465e-01,5.968825287370862348e-02
2.617840225672132815e-01,5.971976264459021716e-02
2.626970740896510947e-01,5.974904291142373730e-02
2.635789238765084974e-01,5.977618046788964884e-02
2.644293521523308765e-01,5.980126151349432484e-02
2.652481469725629371e-01,5.982437164141327784e-02
2.660351042763697826e-01,5.984559582982188625e-02
2.667900279374929018e-01,5.986501843668021183e-02
2.675127298131292353e-01,5.988272319792771470e-02
2.682030297908201133e-01,5.989879322903109843e-02
2.688607558333392933e-01,5.991331102981704154e-02
2.694857440215678301e-01,5.992635849250921992e-02
2.700778385953466199e-01,5.993801691287721500e-02
2.706368919922947924e-01,5.994836700439255817e-02
2.711627648845853500e-01,5.995748891527539343e-02
2.716553262136688907e-01,5.996546224830308358e-02
2.721144532229357593e-01,5.997236608324055251e-02
2.725400314883098529e-01,5.997827900174027005e-02
2.729319549467652539e-01,5.998327911454858635e-02
2.732901259227595303e-01,5.998744409084387497e-02
2.736144551525766522e-01,5.999085118952138251e-02
2.739048618065729745e-01,5.999357729222887237e-02
2.741612735093220676e-01,5.999569893794742814e-02
2.743836263576521217e-01,5.999729235890211704e-02
2.745718649365715969e-01,5.999843351757811610e-02
2.747259423330803418e-01,5.999919814460932116e-02
2.748458201478610197e-01,5.999966177729863098e-02
2.749314685048488971e-01,5.999989979852180660e-02
2.749828660586778883e-01,5.999998747575994995e-02
2.750000000000000222e-01,5.999999999999999778e-02
2.820638646851597597e-01,5.999999999999999778e-02
2.891277293703194973e-01,5.999999999999999778e-02
2.961915940554792348e-01,5.999999999999999778e-02
3.032554587406389723e-01,5.999999999999999778e-02
3.103193234257987099e-01,5.999999999999999778e-02
3.173831881109583919e-01,5.999999999999999778e-02
3.244470527961181294e-01,5.999999999999999778e-02
3.315109174812778670e-01,5.999999999999999778e-02
3.385747821664376045e-01,5.999999999999999778e-02
3.456386468515973420e-01,5.999999999999999778e-02
3.527025115367570796e-01,5.999999999999999778e-02
3.597663762219168171e-01,5.999999999999999778e-02
3.668302409070764991e-01,5.999999999999999778e-02
3.738941055922362366e-01,5.999999999999999778e-02
3.809579702773959742e-01,5.999999999999999778e-02
3.880218349625557117e-01,5.999999999999999778e-02
3.950856996477154492e-01,5.999999999999999778e-02
4.021495643328751868e-01,5.999999999999999778e-02
4.092134290180349243e-01,5.999999999999999778e-02
4.162772937031946618e-01,5.999999999999999778e-02
4.233411583883543994e-01,5.999999999999999778e-02
4.304050230735141369e-01,5.999999999999999778e-02
4.374688877586738744e-01,5.999999999999999778e-02
4.445327524438336120e-01,5.999999999999999778e-02
4.515966171289933495e-01,5.999999999999999778e-02
4.586604818141530315e-01,5.999999999999999778e-02
4.657243464993127691e-01,5.999999999999999778e-02
4.727882111844725066e-01,5.999999999999999778e-02
4.798520758696322441e-01,5.999999999999999778e-02
4.869159405547919262e-01,5.999999999999999778e-02
4.939798052399516637e-01,5.999999999999999778e-02
5.010436699251114012e-01,5.999999999999999778e-02
5.081075346102711388e-01,5.999999999999999778e-02
5.151713992954308763e-01,5.999999999999999778e-02
5.222352639805906138e-01,5.999999999999999778e-02
5.292991286657503514e-01,5.999999999999999778e-02
5.363629933509100889e-01,5.999999999999999778e-02
5.434268580360698264e-01,5.999999999999999778e-02
5.504907227212295640e-01,5.999999999999999778e-02
5.575545874063893015e-01,5.999999999999999778e-02
5.646184520915490390e-01,5.999999999999999778e-02
5.716823167767086655e-01,5.999999999999999778e-02
5.787461814618684031e-01,5.999999999999999778e-02
5.858100461470281406e-01,5.999999999999999778e-02
5.928739108321878781e-01,5.999999999999999778e-02
5.999377755173476157e-01,5.999999999999999778e-02
6.070016402025073532e-01,5.999999999999999778e-02
6.140655048876670907e-01,5.999999999999999778e-02
6.211293695728268283e-01,5.999999999999999778e-02
6.281932342579865658e-01,5.999999999999999778e-02
6.352570989431463033e-01,5.999999999999999778e-02
6.423209636283060409e-01,5.999999999999999778e-02
6.493848283134657784e-01,5.999999999999999778e-02
6.564486929986255159e-01,5.999999999999999778e-02
6.635125576837852535e-01,5.999999999999999778e-02
6.705764223689449910e-01,5.999999999999999778e-02
6.776402870541047285e-01,5.999999999999999778e-02
6.847041517392644661e-01,5.999999999999999778e-02
6.917680164244242036e-01,5.999999999999999778e-02
6.938194334273165564e-01,5.999626168552971844e-02
6.958708504302089093e-01,5.998504767378521479e-02
6.979222674331012621e-01,5.996636075953330064e-02
6.999736844359936150e-01,5.994020559994479858e-02
7.020251014388858568e-01,5.990658871343379488e-02
7.040765184417782097e-01,5.986551847803318199e-02
7.061279354446705625e-01,5.981700512930662739e-02
7.081793524475629154e-01,5.976106075779773208e-02
7.102307694504552682e-01,5.969769930601671187e-02
7.122821864533476210e-01,5.962693656496571154e-02
7.143336034562399739e-01,5.954879017020331400e-02
7.163850204591323267e-01,5.946327959744941022e-02
7.184364374620246796e-01,5.937042615773143600e-02
7.204878544649169214e-01,5.927025299207321074e-02
7.225392714678092743e-01,5.916278506572770352e-02
7.245906884707016271e-01,5.904804916195521142e-02
7.266421054735939800e-01,5.892607387534834484e-02
7.286935224764863328e-01,5.879688960470571407e-02
7.307449394793786857e-01,5.866052854545584366e-02
7.327963564822710385e-01,5.851702468163348658e-02
7.348477734851633913e-01,5.836641377741000336e-02
7.368991904880557442e-01,5.820873336818026267e-02
7.389506074909479860e-01,5.804402275120794374e-02
7.410020244938403389e-01,5.787232297583191215e-02
7.430534414967326917e-01,5.769367683323581991e-02
7.451048584996250446e-01,5.750812884578366396e-02
7.471562755025173974e-01,5.731572525592386336e-02
7.492076925054097503e-01,5.711651401466470712e-02
7.512591095083021031e-01,5.691054476962389974e-02
7.533105265111944560e-01,5.669786885265540310e-02
7.553619435140868088e-01,5.647853926705640598e-02
7.574133605169790506e-01,5.625261067435781415e-02
7.594647775198714035e-01,5.602013938070143917e-02
7.615161945227637563e-01,5.578118332280735531e-02
7.635676115256561092e-01,5.553580205353483845e-02
7.656190285285484620e-01,5.528405672704051615e-02
7.676704455314408149e-01,5.502601008353752432e-02
7.697218625343331677e-01,5.476172643365928572e-02
7.717732795372255206e-01,5.449127164243197652e-02
7.738246965401178734e-01,5.421471311285955968e-02
7.758761135430102263e-01,5.393211976912557631e-02
7.779275305459025791e-01,5.364356203941576806e-02
7.799789475487948209e-01,5.334911183836589521e-02
7.820303645516871738e-01,5.304884254913911495e-02
7.840817815545795266e-01,5.274282900513736078e-02
7.861331985574718795e-01,5.243114747135127485e-02
